Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes,Home_Clean,Away_Clean,Home_Score,Away_Score,Leg 1,Leg 2,Extra Time Required,Home_Score_2,Away_Score_2,Home_Pens,Away_Pens
Group stage,1,Tue,06-09-2022,18:45,Dinamo Zagrebhr,0.6,1–0,0.9,engChelsea,"20,607",Stadion Maksimir,István Kovács,Match Report,,Dinamo Zagreb,Chelsea,1,0,0,0,0,,,,
Group stage,1,Tue,06-09-2022,18:45,Dortmundde,2.3,3–0,0.5,dkFC Copenhagen,"70,700",Signal Iduna Park,François Letexier,Match Report,,Dortmund,FC Copenhagen,3,0,0,0,0,,,,
Group stage,1,Tue,06-09-2022,20:00,Celticsct,1.4,0–3,1.9,esReal Madrid,"57,057",Celtic Park,Sandro Schärer,Match Report,,Celtic,Real Madrid,0,3,0,0,0,,,,
Group stage,1,Tue,06-09-2022,20:00,Benficapt,1.1,2–0,0.2,ilMaccabi Haifa,"55,130",Estádio do Sport Lisboa e Benfica,Andreas Ekberg,Match Report,,Benfica,Maccabi Haifa,2,0,0,0,0,,,,
Group stage,1,Tue,06-09-2022,21:00,RB Salzburgat,1.3,1–1,0.9,itMilan,"29,520",Red Bull Arena,Srđan Jovanović,Match Report,,RB Salzburg,Milan,1,1,0,0,0,,,,
Group stage,1,Tue,06-09-2022,21:00,Sevillaes,0.3,0–4,3.6,engManchester City,"38,764",Estadio Ramón Sánchez Pizjuán,Davide Massa,Match Report,,Sevilla,Manchester City,0,4,0,0,0,,,,
Group stage,1,Tue,06-09-2022,21:00,RB Leipzigde,1.4,1–4,0.9,uaShakhtar,"41,591",Red Bull Arena,João Pinheiro,Match Report,,RB Leipzig,Shakhtar,1,4,0,0,0,,,,
Group stage,1,Tue,06-09-2022,21:00,Paris S-Gfr,1.7,2–1,1,itJuventus,"47,415",Parc des Princes,Anthony Taylor,Match Report,,Paris S-G,Juventus,2,1,0,0,0,,,,
Group stage,1,Wed,07-09-2022,18:45,Ajaxnl,2.1,4–0,0.1,sctRangers,"52,862",Johan Cruyff ArenA,Tobias Stieler,Match Report,,Ajax,Rangers,4,0,0,0,0,,,,
Group stage,1,Wed,07-09-2022,18:45,Eint Frankfurtde,0.8,0–3,0.9,ptSporting CP,"50,500",Deutsche Bank Park,Orel Grinfeeld,Match Report,,Eint Frankfurt,Sporting CP,0,3,0,0,0,,,,
Group stage,1,Wed,07-09-2022,20:00,Tottenhameng,1.5,2–0,0.4,frMarseille,"57,367",Tottenham Hotspur Stadium,Slavko Vinčič,Match Report,,Tottenham,Marseille,2,0,0,0,0,,,,
Group stage,1,Wed,07-09-2022,21:00,Napoliit,4,4–1,1,engLiverpool,"51,793",Stadio Diego Armando Maradona,Carlos del Cerro,Match Report,,Napoli,Liverpool,4,1,0,0,0,,,,
